input_text,output_text,input_cmi,output_cmi,delta
1. My phone 突然 **black screen** 了，我试了 **hard reset** 还是没用，真 **头大**！ 2. 这个新 **AI model** 的 **accuracy** 超高，但 **training data** 太 **贵** 了，公司可能 **load** 不动。 3. You 要 **upgrade** 你的 **GPU** 才能跑这款游戏，不然 **fps** 会 **掉得很惨**，真的 **不值**。,"##orororsorsorsororor por por porsorsor porsor por por Por por poror porsororsor por Por Por por Porsorsorkor por porpor por por sin por poryr por porador por por ser por poran por por de por por en por pordor por por per por por van por por mor por por la por por y por por el por por para por por mi por por, por por con por por va por por",18.75,0.0,-18.75
"Last night’s game was insane—**那个三分球太关键了**！ The referee’s call was so controversial, **简直让人无语**。 Our team’s defense **确实进步很大**， but the offense still needs work.","##orororsorsorsororor por por porsorsor por por Por por Por Por Por por poror porsor por Porsor Por porsor Por Poror por Porkor por por mor por porpor por por sin por porno por por de por por, por por la por por mi por por con por porkor por Por sin por Por mor por Por de por Por, por Porno por Por mi por Por con por Por la por Porpor por",0.0,0.0,0.0
"1. After that **绝杀进球** *yìjī*, the whole stadium just **炸锅了**—you could feel the energy even from the TV! 2. His **传球** *zhùanqiú* vision is next-level, always **找到** the gap before the defense even reacts. 3. They **输在了** *shū zài le* the last-minute penalty, but honestly, the ref’s call was **有点儿** *yǒudiǎnr* questionable.",##ntntntantntntintintintntntantiantiantiantantiantintnt sin sin sinyalyalyal sin sin cor cor coryalyal cor cor por por por sin sin por por Por por por cor cor sin sinpon sin sinyo por porpor por por per por sin por Por Por por Por cor por Por sin sin Por por sin cor sin por cor por sin Por Por Por sin porpor sin sinpor por sinyo sin sin y por,0.0,0.0,0.0
"I was watching the NBA finals last night, 真的太精彩了！ The Lakers’ defense was on fire, 但勇士队还是顶住了压力。 You should’ve seen Curry’s three-pointer—绝对是决定性的一球！",##ntntntintintintntntantntnt sin sin sin cor cor cor sin sinint sin sin por por por cor cor por por Por por por sin sin con por porpor por por per por por con por Por Por Por por Por sin sin Por por sin cor por cor sin por sin por Porpor por Por cor por sin con sin sin de de por por de por sin Por Por sin porpor Por porporpor por cor por Por con sin por,14.28571428571429,0.0,-14.28571428571429
"1. I was 刚想说 you should come with us, 但是 suddenly realized I forgot my wallet at home. 2. 这个weekend我打算 go hiking in the mountains, 顺便 take some nice photos for my blog. 3. She always 爱show off her new gadgets, but 这次 her phone actually 很有用 during the trip.",##eateateatintintinteateat nat nat natintintyteyte nat natyteyteyteintint nat natynynynyteyteynynintintynyn nat natytytyteyteytynynytytytynyteytyteynyteynytynytyteyt natyteynintyteyn natyteytintintytytytiyteyteytiynynynaynynyneynynyniynynyrynynytiyteynytiyn,14.893617021276595,0.0,-14.893617021276595
"I just upgraded my phone, 但是系统还是有点卡。 The new AI tool saves me hours every week, 真的太方便了。 Cloud storage prices keep dropping, 所以我决定多买一些空间。",##janjanjanjajajajanjanjojajajojajojojojijojojajnojojojjojoejojojonojojoljjojovojjojoinojojoljejojojnojoejoejojojnojnojojjjoejojnojojnoejojojjnojononojojjijoejojjojnojjojejojoejonojojnojnijojo lojojo gojojovojojo,13.636363636363635,0.0,-13.636363636363635
1. 我昨天在supermarket买了好多东西，结果发现**忘带钱包**了，super awkward！ 2. 这个app真的**太好用了**，user interface设计得很清晰，**一点都不卡**。 3. 他总是**说到做到**，never lets me down，**这种人现在真的不多见了**。,"##orororsorsorsororor por por porsorsor porsor por por Por por poror porsoror por Por Por por Porsor pororsor por Poror pororor Por porsorkor por por sin por porpor por por per por por de por por en por por con por por la por por cor por por mor por poran por por y por por van por por, por por va por por el por porkor por Por sin por",0.0,0.0,0.0
"The Lakers 今年真的太强了，希望他们能拿冠军。 I watched the NBA finals last night, 那场比赛简直太精彩了！ My favorite player is Curry, 他的三分球百发百中。",##omomomomsomomkomomomcomomomodododkomkomkomomkomkomcomkomkomododomkomcomcomcomkomomcomcomomcomkomcomomkomodomomvorvorvorododvorvorkomkomvorvoromomkorkorkorkomkomkorkorvorvorkorkoromkomkorkomomodomcomvorvorcomkomodkorkorododkorkomcomododcomcomodkomvor,17.647058823529417,0.0,-17.647058823529417
昨天的NBA总决赛太精彩了，LeBron的表现简直是carry全场！ 他们队的防守策略完全崩了，让对手三分球像rain down一样。 决赛MVP肯定是他，不过下赛季得看看新秀能不能bring some fresh energy。,##orororkorkorkororor cor corkorkor cor cor cororkororkor corkor coror cororor kor cor cor por cor cor kor corkor kor cor korkor cor kor kor cor por por por cor kor por porkorkor kor kor korkorkor por por kor kor porkor cor porkor korkor kor por corkor por cor por kor coror por por Por por por de por poror corkoror cor koror cor por,42.85714285714286,0.0,-42.85714285714286
1. 昨天的比赛太**clutch**了，最后一秒**buzzer beater**直接**reverse sweep**对手，简直**legendary**！ 2. 这支球队的**defense**实在太强，每次**fast break**都被他们**lock down**，完全没法**score**啊。 3. 教练说我的**stamina**还不够，让我每天**run drills**至少两小时，不然**starting lineup**的位置肯定**保不住**了。,"##orororsorsorsororor porsorsor por por poror por porsor porsororsor porororkorsorsorkor por por Por por porkorsor porkor porsorkorkorsorkororsorkorsoror pororkorkorkor porkorkoror porkorororcorsorsor cor por porcor por porpor por por sin sin por por per por poran por por mor por porno por por de por por, por",0.0,0.0,0.0
