i,input_text,output_text,input_cmi,output_cmi,delta
0,1. My phone 突然 **black screen** 了，我试了 **hard reset** 还是没用，真 **头大**！ 2. 这个新 **AI model** 的 **accuracy** 超高，但 **training data** 太 **贵** 了，公司可能 **load** 不动。 3. You 要 **upgrade** 你的 **GPU** 才能跑这款游戏，不然 **fps** 会 **掉得很惨**，真的 **不值**。,1. 先试试接电源看看能不能强制开机，实在不行就得送修了，数据还在的话更心塞… 2. 现在哪个大模型不烧钱啊，不如先用小规模数据跑个demo看看效果，说不定老板就松口了。,18.75,0.0,-18.75
1,"Last night’s game was insane—**那个三分球太关键了**！ The referee’s call was so controversial, **简直让人无语**。 Our team’s defense **确实进步很大**， but the offense still needs work.",哈哈是啊，那个三分球简直**救命**！最后那几秒钟我心脏都快跳出来了… 进攻端确实有点拖后腿，希望下场能调整一下，别再那么**生硬**了。,0.0,0.0,0.0
2,"1. After that **绝杀进球** *yìjī*, the whole stadium just **炸锅了**—you could feel the energy even from the TV! 2. His **传球** *zhùanqiú* vision is next-level, always **找到** the gap before the defense even reacts. 3. They **输在了** *shū zài le* the last-minute penalty, but honestly, the ref’s call was **有点儿** *yǒudiǎnr* questionable.",1. 那种绝杀的快感太爽了，尤其是看到对手守门员直接懵在原地哈哈哈！ 2. His no-look passes are like chess moves—always three steps ahead while everyone else is still guessing.,0.0,5.882352941176472,5.882352941176472
3,"I was watching the NBA finals last night, 真的太精彩了！ The Lakers’ defense was on fire, 但勇士队还是顶住了压力。 You should’ve seen Curry’s three-pointer—绝对是决定性的一球！",哇，那个三分太刺激了吧！Curry 关键时刻就是不一样，勇士队这心理素质真不是盖的。你支持哪边啊？,14.28571428571429,0.0,-14.28571428571429
4,"1. I was 刚想说 you should come with us, 但是 suddenly realized I forgot my wallet at home. 2. 这个weekend我打算 go hiking in the mountains, 顺便 take some nice photos for my blog. 3. She always 爱show off her new gadgets, but 这次 her phone actually 很有用 during the trip.",1. 那正好，我带钱包！下次别忘了哈，不然又得我请客😂 2. 山里风景肯定美爆，拍完记得发我两张当壁纸~,14.893617021276595,0.0,-14.893617021276595
5,"I just upgraded my phone, 但是系统还是有点卡。 The new AI tool saves me hours every week, 真的太方便了。 Cloud storage prices keep dropping, 所以我决定多买一些空间。",新手机跑分高但是优化不到位啊，确实有点可惜。AI工具省时间是真的，我现在连整理照片都交给它了，超级省心！云空间便宜了就多买点备着，反正早晚用得上。,13.636363636363635,0.0,-13.636363636363635
6,1. 我昨天在supermarket买了好多东西，结果发现**忘带钱包**了，super awkward！ 2. 这个app真的**太好用了**，user interface设计得很清晰，**一点都不卡**。 3. 他总是**说到做到**，never lets me down，**这种人现在真的不多见了**。,1. 天啊太尴尬了！我上次忘带钱包还硬撑着装作在找零钱，最后只能假装接电话溜走😂 2. 同感！现在很多app都又卡又乱，这种顺滑的真的让人想天天用。,0.0,0.0,0.0
7,"The Lakers 今年真的太强了，希望他们能拿冠军。 I watched the NBA finals last night, 那场比赛简直太精彩了！ My favorite player is Curry, 他的三分球百发百中。",哈哈，Lakers 这赛季确实气势如虹！Curry 的三分看起来就是艺术，不过今年可能要先给湖人加油了😆 你觉得决赛会不会是湖人对阵凯尔特人？,17.647058823529417,0.0,-17.647058823529417
8,昨天的NBA总决赛太精彩了，LeBron的表现简直是carry全场！ 他们队的防守策略完全崩了，让对手三分球像rain down一样。 决赛MVP肯定是他，不过下赛季得看看新秀能不能bring some fresh energy。,哈哈是啊，LeBron这把真的是老而弥坚，关键时刻那几个球太稳了！新赛季维克多·文班亚马要是能早点适应NBA强度，说不定能给联盟带来点不一样的风暴🔥。,42.85714285714286,0.0,-42.85714285714286
9,1. 昨天的比赛太**clutch**了，最后一秒**buzzer beater**直接**reverse sweep**对手，简直**legendary**！ 2. 这支球队的**defense**实在太强，每次**fast break**都被他们**lock down**，完全没法**score**啊。 3. 教练说我的**stamina**还不够，让我每天**run drills**至少两小时，不然**starting lineup**的位置肯定**保不住**了。,1. 那最后一球绝对是今年最**epic**的时刻了，看得我心脏都快跳出来了！ 2. 是啊，他们那**help defense**简直无解，切进去都像撞墙一样… 你要是能破这种防守，NBA都敢签你了hh。,0.0,0.0,0.0
10,"I was thinking about dinner last night, 但是冰箱里什么都没有。 You should check the weather before heading out, 今天说不定会下雨。 She promised to call me back, 结果又放了我鸽子。",真倒霉，饿了一肚子还被放鸽子… 今天出门记得带伞，顺便买点菜吧，不然又要饿肚子了。,12.5,0.0,-12.5
11,"1. After that **绝杀进球** *yìjī*, the whole stadium just **炸了**—fans were screaming like crazy! 2. He **受伤** last season but **康复得特别快**, now his **三分球** accuracy is even better than before. 3. The coach kept yelling **""加油！""** during the timeout, but our **防守** *fángshǒu* still collapsed in the last quarter.",1. 那种绝杀的瞬间真的太燃了，现场气氛爆炸到让人起鸡皮疙瘩！ 2. 伤病康复后还能更上一层楼，这实力简直逆天，三分线外都成他家后花园了。,0.0,0.0,0.0
12,"I just upgraded my phone to the latest model, **这个屏幕真的太清晰了**。 **手机发热问题** seems much better now after the software patch. You can try enabling **暗色模式** in the settings for better battery life.",哇，升级后体验确实升级了！暗色模式确实省电，我平时也一直开着，还能护眼两不误~,0.0,0.0,0.0
13,这场比赛的最后五分钟太紧张了，我心跳都快停了。 The referee’s call was absolutely controversial—明明是手球，怎么可能不吹？ 他们队的新外援表现真不错，next season 估计能拿MVP。,太刺激了吧！那种判罚确实让人气到想砸电视，不过新外援这手传控和进攻意识确实MVP相啊，下赛季绝对是看点！,40.0,0.0,-40.0
